GameID,Title,DetailedDescription,SupportedLanguages,ReleaseDate,BackgroundImage,PosterImage,Trailer,PurchaseLink,PriceInitial,PriceFinal,EmbeddingVectors,SteamRecommendationCount,PlatformWindows,PlatformLinux,PlatformMac
11,Half-Life 2,1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous immersive storytelling. Valves debut title wins more than 50 game-of-the-year awards on its way to being named Best PC Game Ever by PC Gamer and launches a franchise with more than eight million retail units sold worldwide.NOW. By taking the suspense challenge and visceral charge of the original and adding startling new realism and responsiveness Half-Life 2 opens the door to a world where the players presence affects everything around him from the physical environment to the behaviors even the emotions of both friends and enemies.The player again picks up the crowbar of research scientist Gordon Freeman who finds himself on an alien-infested Earth being picked to the bone its resources depleted its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people he cares about are counting on him.The intense real-time gameplay of Half-Life 2 is made possible only by Source® Valves new proprietary engine technology. Source provides major enhancements in:Characters: Advanced facial animation system delivers the most sophisticated in-game characters ever seen. With 40 distinct facial muscles human characters convey the full array of human emotion and respond to the player with fluidity and intelligence.Physics: From pebbles to water to 2-ton trucks respond as expected as they obey the laws of mass friction gravity and buoyancy.Graphics: Sources shader-based renderer like the one used at Pixar to create movies such as Toy Story® and Monsters Inc.® creates the most beautiful and realistic environments ever seen in a video game.AI: Neither friends nor enemies charge blindly into the fray. They can assess threats navigate tricky terrain and fashion weapons from whatever is at hand.,English* French* German* Italian* Korean* Spanish* Russian* Simplified Chinese* Traditional Chinese* Dutch Danish Finnish Japanese Norwegian Polish Portuguese Swedish Thai**languages with full audio support,Nov 16 2004,http://cdn.akamai.steamstatic.com/steam/apps/220/page_bg_generated_v6b.jpg?t=1456860366,http://cdn.akamai.steamstatic.com/steam/apps/220/header.jpg?t=1456860366,,http://steamcommunity.com/app/220,9.99,9.99,0,35792,1,1,1
12,Counter-Strike: Source,THE NEXT INSTALLMENT OF THE WORLDS # 1 ONLINE ACTION GAME Counter-Strike: Source blends Counter-Strikes award-winning teamplay action with the advanced technology of Source�?technology. Featuring state of the art graphics all new sounds and introducing physics Counter-Strike: Source is a must-have for every action gamer.,English French German Italian Japanese Korean Spanish Russian Simplified Chinese Traditional Chinese Thai Turkish,Nov 1 2004,http://cdn.akamai.steamstatic.com/steam/apps/240/page_bg_generated_v6b.jpg?t=1448314295,http://cdn.akamai.steamstatic.com/steam/apps/240/header.jpg?t=1448314295,,http://steamcommunity.com/app/240,19.99,19.99,0,53931,1,1,1
13,Half-Life: Source,Winner of over 50 Game of the Year awards Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game enhanced via Source technology to include physics simulation enhanced effects and more.,English French German Italian Japanese Spanish Russian Simplified Chinese Traditional Chinese Thai Korean,Jun 1 2004,http://cdn.akamai.steamstatic.com/steam/apps/280/page_bg_generated_v6b.jpg?t=1447350819,http://cdn.akamai.steamstatic.com/steam/apps/280/header.jpg?t=1447350819,, ,9.99,9.99,0,2547,1,1,1
14,Day of Defeat: Source,Day of Defeat offers intense online action gameplay set in Europe during WWII. Assume the role of infantry sniper or machine-gunner classes and more. DoD:S features enhanced graphics and sounds design to leverage the power of Source Valves new engine technology.,English,Jul 12 2010,http://cdn.akamai.steamstatic.com/steam/apps/300/page_bg_generated_v6b.jpg?t=1447350820,http://cdn.akamai.steamstatic.com/steam/apps/300/header.jpg?t=1447350820,, ,9.99,9.99,0,7185,1,1,1
15,Half-Life 2: Deathmatch,Fast multiplayer action set in the Half-Life 2 universe! HL2s physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today!,English,Nov 1 2004,http://cdn.akamai.steamstatic.com/steam/apps/320/page_bg_generated_v6b.jpg?t=1447350821,http://cdn.akamai.steamstatic.com/steam/apps/320/header.jpg?t=1447350821,, ,4.99,4.99,0,4328,1,1,1
16,Half-Life 2: Lost Coast,Originally planned as a section of the Highway 17 chapter of Half-Life 2 Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine.,English French German Italian Spanish Russian Simplified Chinese Traditional Chinese Korean,Oct 27 2005,http://cdn.akamai.steamstatic.com/steam/apps/340/page_bg_generated_v6b.jpg?t=1447350821,http://cdn.akamai.steamstatic.com/steam/apps/340/header.jpg?t=1447350821,, ,0,0,0,4352,1,1,1
17,Half-Life Deathmatch: Source,Half-Life Deathmatch: Source is a recreation of the first multiplayer game set in the Half-Life universe. Features all the classic weapons and most-played maps now running on the Source engine.,English,May 1 2006,http://cdn.akamai.steamstatic.com/steam/apps/360/page_bg_generated_v6b.jpg?t=1447350852,http://cdn.akamai.steamstatic.com/steam/apps/360/header.jpg?t=1447350852,, ,9.99,9.99,0,864,1,1,1
18,Half-Life 2: Episode One,Half-Life 2 has sold over 4 million copies worldwide and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.,English* French* German* Italian* Korean* Spanish* Russian* Simplified Chinese* Traditional Chinese* Dutch Danish Finnish Japanese Norwegian Polish Portuguese Swedish Thai**languages with full audio support,Jun 1 2006,http://cdn.akamai.steamstatic.com/steam/apps/380/page_bg_generated_v6b.jpg?t=1456867730,http://cdn.akamai.steamstatic.com/steam/apps/380/header.jpg?t=1456867730,, ,7.99,7.99,0,4437,1,1,1
19,Portal,Portal�?is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.The game is designed to change the way players approach manipulate and surmise the possibilities in a given environment; similar to how Half-Life® 2s Gravity Gun innovated new ways to leverage an object in any given situation.Players must solve physical puzzles and challenges by opening portals to maneuvering objects and themselves through space.,English* French* German* Russian* Danish Dutch Finnish Italian Japanese Norwegian Polish Portuguese Simplified Chinese Spanish* Swedish Traditional Chinese* Korean*languages with full audio support,Oct 10 2007,http://cdn.akamai.steamstatic.com/steam/apps/400/page_bg_generated_v6b.jpg?t=1447890222,http://cdn.akamai.steamstatic.com/steam/apps/400/header.jpg?t=1447890222,,http://steamcommunity.com/app/400,9.99,9.99,0,27535,1,1,1
20,Half-Life 2: Episode Two,Half-Life® 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life® adventure.As Dr. Gordon Freeman you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions. In Episode Two you must battle and race against Combine forces as you traverse the White Forest to deliver a crucial information packet stolen from the Citadel to an enclave of fellow resistance scientists.Episode Two extends the award-winning Half-Life gameplay with unique weapons vehicles and newly-spawned creatures.,English* French* German* Russian* Danish Dutch Finnish Italian Japanese Korean Norwegian Polish Portuguese Simplified Chinese Spanish* Swedish Traditional Chinese*languages with full audio support,Oct 10 2007,http://cdn.akamai.steamstatic.com/steam/apps/420/page_bg_generated_v6b.jpg?t=1456867684,http://cdn.akamai.steamstatic.com/steam/apps/420/header.jpg?t=1456867684,, ,7.99,7.99,0,6104,1,1,1
21,Team Fortress 2,The Tough Break Update is Now Available!About the GameThe most fun you can have online - PC Gamer Is now FREE! Theres no catch! Play as much as you want as long as you like! The most highly-rated free game of all time! One of the most popular online action games of all time Team Fortress 2 delivers constant free updates--new game modes maps equipment and most importantly hats. Nine distinct classes provide a broad range of tactical abilities and personalities and lend themselves to a variety of player skills. New to TF? Dont sweat it! No matter what your style and experience weve got a character for you. Detailed training and offline practice modes will help you hone your skills before jumping into one of TF2s many game modes including Capture the Flag Control Point Payload Arena King of the Hill and more. Make a character your own! There are hundreds of weapons hats and more to collect craft buy and trade. Tweak your favorite class to suit your gameplay style and personal taste. You dont need to pay to win--virtually all of the items in the Mann Co. Store can also be found in-game.,English* Danish Dutch Finnish French German Italian Japanese Norwegian Polish Portuguese Russian Simplified Chinese Spanish Swedish Traditional Chinese Korean Czech Hungarian Portuguese-Brazil Turkish Greek Bulgarian Romanian Thai Ukrainian*languages with full audio support,Oct 10 2007,http://cdn.akamai.steamstatic.com/steam/apps/440/page_bg_generated_v6b.jpg?t=1473198172,http://cdn.akamai.steamstatic.com/steam/apps/440/header.jpg?t=1473198172,,http://steamcommunity.com/app/440,0,0,0,383949,1,1,1
22,Left 4 Dead,Steam Big PictureAbout the GameFrom Valve (the creators of Counter-Strike Half-Life and more) comes Left 4 Dead a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.                    Set in the immediate aftermath of the zombie apocalypse L4Ds survival co-op mode lets you blast a path through the infected in four unique movies guiding your survivors across the rooftops of an abandoned metropolis through rural ghost towns and pitch-black forests in your quest to escape a devastated Ground Zero crawling with infected enemies. Each movie is comprised of five large maps and can be played by one to four human players with an emphasis on team-based strategy and objectives.                     New technology dubbed the AI Director is used to generate a unique gameplay experience every time you play. The Director tailors the frequency and ferocity of the zombie attacks to your performance putting you in the middle of a fast-paced but not overwhelming Hollywood horror movie.                    Addictive single player co-op and multiplayer action gameplay from the makers of Counter-Strike and Half-Life                    Versus Mode lets you compete four-on-four with friends playing as a human trying to get rescued or as a zombie boss monster that will stop at nothing to destroy them.See how long you and your friends can hold out against the infected horde in the new Survival ModeAn advanced AI director dynamically creates intense and unique experiences every time the game is played                     20 maps 10 weapons and unlimited possibilities in four sprawling movies                     Matchmaking stats rankings and awards system drive collaborative play                     Designers Commentary allows gamers to go behind the scenes of the game                     Powered by Source and Steam                     THE SACRIFICEThe Sacrifice is  the new add-on for Left 4 Dead.The Sacrifice is the prequel to The Passing and takes place from the L4D Survivors perspective as they make their way South. In addition to advancing the story The Sacrifice introduces a new style finale featuring Sacrificial Gameplay where players get to decide who will give their life so the others may live.In The Sacrifice for Left 4 Dead owners receive The Sacrifice campaign playable in Campaign Versus  and Survival modes.,English* French* German* Spanish* Russian* Danish Dutch Finnish Italian Japanese Norwegian Polish Portuguese Simplified Chinese Swedish Traditional Chinese Korean*languages with full audio support,Nov 17 2008,http://cdn.akamai.steamstatic.com/steam/apps/500/page_bg_generated_v6b.jpg?t=1447903113,http://cdn.akamai.steamstatic.com/steam/apps/500/header.jpg?t=1447903113,,http://steamcommunity.com/app/500,19.99,19.99,0,9980,1,0,1
23,Left 4 Dead 2,Set in the zombie apocalypse Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead the #1 co-op game of 2008.                    This co-operative action horror FPS takes you and your friends through the cities swamps and cemeteries of the Deep South from Savannah to New Orleans across five expansive campaigns.                    Youll play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms youll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons from chainsaws to axes and even the deadly frying pan.                    Youll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. Youll also encounter five new uncommon common infected including the terrifying Mudmen.                    Helping to take L4Ds frantic action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather youll fight through and the pathways youll take in addition to tailoring the enemy population effects and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played custom-fitted to your style of play.                    Next generation co-op action gaming from the makers of Half-Life Portal Team Fortress and Counter-Strike.                    Over 20 new weapons & items headlined by over 10 melee weapons - axe chainsaw frying pan baseball bat - allow you to get up close with the zombies                    New survivors. New Story. New dialogue.                     Five expansive campaigns for co-operative Versus and Survival game modes.                    An all new multiplayer mode.                    Uncommon common infected. Each of the five new campaigns contains at least one new uncommon common zombies which are exclusive to that campaign.                     AI Director 2.0: Advanced technology dubbed The AI Director drove L4Ds unique gameplay - customizing enemy population effects and music based upon the players performance. L4D 2 features The AI Director 2.0 which expands the Directors ability to customize level layout world objects weather and lighting to reflect different times of day.                    Stats rankings and awards system drives collaborative play,Danish Dutch English* Finnish French* German* Italian Japanese Korean Norwegian Polish Portuguese Russian* Simplified Chinese Spanish* Swedish Traditional Chinese Hungarian Turkish*languages with full audio support,Nov 16 2009,http://cdn.akamai.steamstatic.com/steam/apps/550/page_bg_generated_v6b.jpg?t=1467131981,http://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1467131981,,http://steamcommunity.com/app/550,19.99,19.99,0,140726,1,1,1
24,Dota 2,Dota is a competitive game of action and strategy played both professionally and casually by millions of passionate fans worldwide. Players pick from a pool of over a hundred heroes forming two teams of five players. Radiant heroes then battle their Dire counterparts to control a gorgeous fantasy landscape waging campaigns of cunning stealth and outright warfare.Irresistibly colorful on the surface Dota is a game of infinite depth and complexity. Every hero has an array of skills and abilities that combine with the skills of their allies in unexpected ways to ensure that no game is ever remotely alike. This is one of the reasons that the Dota phenomenon has continued to grow. Originating as a fan-made Warcraft 3 modification Dota was an instant underground hit. After coming to Valve the original community developers have bridged the gap to a more inclusive audience so that the rest of the world can experience the same core gameplay but with the level of polish that only Valve can provide.Get a taste of the game that has enthralled millions.,Bulgarian Czech Danish Dutch English* Finnish French German Greek Hungarian Italian Japanese Korean* Norwegian Polish Portuguese Portuguese-Brazil Romanian Russian Simplified Chinese* Spanish Swedish Thai Traditional Chinese Turkish Ukrainian*languages with full audio support,Jul 9 2013,http://cdn.akamai.steamstatic.com/steam/apps/570/page_bg_generated_v6b.jpg?t=1471028674,http://cdn.akamai.steamstatic.com/steam/apps/570/header.jpg?t=1471028674,,http://dev.dota2.com/,0,0,0,590480,1,1,1
25,Portal 2,Portal 2 draws from the award-winning formula of innovative gameplay story and music that earned the original Portal over 70 industry accolades and created a cult following.The single-player portion of Portal 2 introduces a cast of dynamic new characters a host of fresh puzzle elements and a much larger set of devious test chambers. Players will explore never-before-seen areas of the Aperture Science Labs and be reunited with GLaDOS the occasionally murderous computer companion who guided them through the original game.The games two-player cooperative mode features its own entirely separate campaign with a unique story test chambers and two new player characters. This new mode forces players to reconsider everything they thought they knew about portals. Success will require them to not just act cooperatively but to think cooperatively.Product FeaturesExtensive single player: Featuring next generation gameplay and a wildly-engrossing story.Complete two-person co-op: Multiplayer game featuring its own dedicated story characters and gameplay.Advanced physics: Allows for the creation of a whole new range of interesting challenges producing a much larger but not harder game.Original music.Massive sequel: The original Portal was named 2007s Game of the Year by over 30 publications worldwide. Editing Tools: Portal 2 editing tools will be included.,English* French* German* Spanish* Czech Danish Dutch Finnish Hungarian Italian Japanese Korean Norwegian Polish Portuguese Romanian Russian* Simplified Chinese Swedish Thai Traditional Chinese Turkish*languages with full audio support,Apr 18 2011,http://cdn.akamai.steamstatic.com/steam/apps/620/page_bg_generated_v6b.jpg?t=1452903431,http://cdn.akamai.steamstatic.com/steam/apps/620/header.jpg?t=1452903431,,http://steamcommunity.com/app/620,19.99,19.99,0,73128,1,1,1
26,Alien Swarm,Alien Swarm is a game and Source SDK release from a group of talented designers at Valve who were hired from the Mod community.Available free of charge the game thrusts players into an epic bug hunt featuring a unique blend of co-op play and squad-level tactics. With your friends form a squad of four distinct IAF Marine classes. Plan your attack using an unlockable arsenal of weapons with countless loadout configurations against a wide variety of aliens. Blaze your way through an overrun off-world colony eradicating the alien infestation in environments ranging from the icy planets surface to a subterranean lava-flooded mining facility.Along with the game get the complete code base for Alien Swarm that features updates to the Source engine as well as the SDK. Alien Swarm adds 3rd person camera depth of field improved dynamic shadows and a wide variety of gameplay additions to the Source engine.Tactical 4 player co-op action game with a top-down perspective Complete game code and mod tools Unlock persistent items by gaining levels Over 40 weapons and equipment with countless loadout configurations 4 unique classes and 8 unique characters Matchmaking Steam Cloud Steam Stats 64 achievements Tile-based map generation tool Powered by Source and Steam,English,Jul 19 2010,http://cdn.akamai.steamstatic.com/steam/apps/630/page_bg_generated_v6b.jpg?t=1447353182,http://cdn.akamai.steamstatic.com/steam/apps/630/header.jpg?t=1447353182,, ,0,0,0,14625,1,0,0
27,Portal 2,Portal 2 draws from the award-winning formula of innovative gameplay story and music that earned the original Portal over 70 industry accolades and created a cult following.The single-player portion of Portal 2 introduces a cast of dynamic new characters a host of fresh puzzle elements and a much larger set of devious test chambers. Players will explore never-before-seen areas of the Aperture Science Labs and be reunited with GLaDOS the occasionally murderous computer companion who guided them through the original game.The games two-player cooperative mode features its own entirely separate campaign with a unique story test chambers and two new player characters. This new mode forces players to reconsider everything they thought they knew about portals. Success will require them to not just act cooperatively but to think cooperatively.Product FeaturesExtensive single player: Featuring next generation gameplay and a wildly-engrossing story.Complete two-person co-op: Multiplayer game featuring its own dedicated story characters and gameplay.Advanced physics: Allows for the creation of a whole new range of interesting challenges producing a much larger but not harder game.Original music.Massive sequel: The original Portal was named 2007s Game of the Year by over 30 publications worldwide. Editing Tools: Portal 2 editing tools will be included.,English* French* German* Spanish* Czech Danish Dutch Finnish Hungarian Italian Japanese Korean Norwegian Polish Portuguese Romanian Russian* Simplified Chinese Swedish Thai Traditional Chinese Turkish*languages with full audio support,Apr 18 2011,http://cdn.akamai.steamstatic.com/steam/apps/620/page_bg_generated_v6b.jpg?t=1452903431,http://cdn.akamai.steamstatic.com/steam/apps/620/header.jpg?t=1452903431,,http://steamcommunity.com/app/620,19.99,19.99,0,73128,1,1,1
28,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive (CS: GO) will expand upon the team-based action gameplay that it pioneered when it was launched 14 years ago.CS: GO features new maps characters and weapons and delivers updated versions of the classic CS content (de_dust etc.). In addition CS: GO will introduce new gameplay modes matchmaking leader boards and more.Counter-Strike took the gaming industry by surprise when the unlikely MOD became the most played online PC action game in the world almost immediately after its release in August 1999 said Doug Lombardi at Valve. For the past 12 years it has continued to be one of the most-played games in the world headline competitive gaming tournaments and selling over 25 million units worldwide across the franchise. CS: GO promises to expand on CS award-winning gameplay and deliver it to gamers on the PC as well as the next gen consoles and the Mac.,Czech Danish Dutch English* Finnish French German Hungarian Italian Japanese Korean Norwegian Polish Portuguese Portuguese-Brazil Romanian Russian Simplified Chinese Spanish Swedish Thai Traditional Chinese Turkish Bulgarian Ukrainian*languages with full audio support,Aug 21 2012,http://cdn.akamai.steamstatic.com/steam/apps/730/page_bg_generated_v6b.jpg?t=1467065027,http://cdn.akamai.steamstatic.com/steam/apps/730/header.jpg?t=1467065027,, ,14.99,14.99,0,1427633,1,1,1
29,Rag Doll Kung Fu,Featuring a wide collection of single and multiplayer games either online or with multiple mice Rag Doll Kung Fu provides players with one of the most creative and unique game experiences delivered in years. Additionally between those game rounds the challenges of an aspiring Kung Fu master are revealed via outlandish cut scenes inspired by classic Kung Fu cinema.,English,Oct 12 2005,http://cdn.akamai.steamstatic.com/steam/apps/1002/page_bg_generated_v6b.jpg?t=1447350828,http://cdn.akamai.steamstatic.com/steam/apps/1002/header.jpg?t=1447350828,, ,9.99,9.99,0,0,1,0,0
30,Red Orchestra: Ostfront 41-45,Fight in the theatre of war that changed the world forever. Battle alongside your compatriots on some of the most inhospitable environments of the Eastern Front in Red Orchestra: Ostfront 41-45. Red Orchestra places you in the most realistic WWII first-person multi-player combat to date on the PC allowing the player to fight through some of the most intense combat of the war. You can play as infantry using a wide range of infantry weapons or crew one of the many armored combat vehicles available in the game from half-tracks to the most famous German and Soviet heavy tanks. Engage the enemy with everything in your arsenal from your bayonet at close quarters up to the massive 122mm cannon on the Soviet IS-2. And if that isnt enough find an officer and a radio to call in thunderous artillery strikes to shake the enemy loose.Crew 16 fully realized vehicles with highly detailed exterior and interior models Choose from 30 authentic infantry weapons Full 50+ player online Multiplayer SupportUnique Setting - the only FPS to focus on the WWII Russian FrontEngage enemy tanks at 800 metres and more with the Simulation-level armored vehicle combatFight the full range of combined arms infantry and vehicle combat in detailed environments based on real-world data from city-centre to deeply rural settings Realistic bullet and projectile ballistics will make you duck for cover Coordinate strategies with your team-mates via Voice Over IP Authentic Immersive Sound FX and 3d Positional Sound System 3D Iron Sights and unique 3D scope system True weapon deployment system including resting rifles on supportHistorically accurate artillery system Distance-based sound system dynamically creates the battle ambianceAdvanced player movement system featuring diving over obstacles and leaning Custom 8 way animation system for highly realistic player animations New for Summer 07This update includes a new map a new vehicle and some major graphical enhancements to the game and is available to owners of the game for free through Steam. The new map - Krivoi Rog - gives players the largest tank slugfest to date with 16 square kilometers of terrain 3000 meter viewable range and up to 50 players. This map also features the new vehicle - the German Panzer IV G providing the German players with some additional fire-power for the mid-war period.In addition to the new map and vehicle an all-new adaptive bloom system has been added for the games graphics making the bloom crystal-clear even at low resolutions. For further eye-candy Anti-Aliasing and Anisotropic Filtering settings are now configurable in-game.New for Spring 07Ten new maps the winning entries in Tripwires Custom Map Competition. Tripwire worked with the developers of each of these maps to ensure the maps are optimized polished and gameplay balanced. Highlights in the new map-pack include:Smolensk Stalemate: the contest winning map features perfectly balanced to-and-fro infantry combat through ruined villages and trenches in August 1943.Leningrad: features close-quarters infantry fighting in the ruined streets of the city above them in the bombed-out buildings and deep beneath them in the sewers all with close-in armor support.Berezina: the After-Hourz team surpass themselves on this rural/village map introducing not just a new vehicle (the Russian BT-7 light tank) but also the first functional anti-tank gun in the game. To cap it off the BT-7 even carries tank-riders.Black Day July: one of the very best for tank combat fans set in the rolling countryside around Prokhorovka as German and Russian armor clash en masse during the Battle of Kursk.Increased player limits. A new level of intensity with 50+ player multiplayer battles (up from the previous limit of 32).New community made content including the Russian BT-7 light tank with infantry tank riders and the first player controllable anti-tank gun in the game.New soundtrack: The Orchestra comes to the Ostfront - the game now features a complete in-game soundtrack from composer Matthew Burns.Gameplay enhancements. The addition of several features requested by the clan/ladder/league community to enhance competitive play.,English French Russian,Mar 14 2006,http://cdn.akamai.steamstatic.com/steam/apps/1200/page_bg_generated_v6b.jpg?t=1447350836,http://cdn.akamai.steamstatic.com/steam/apps/1200/header.jpg?t=1447350836,, ,9.99,9.99,0,1220,1,1,1
